"Stand.Res.V1","Stand.Res.Lev","Stand.Res.Cooks"
0.73,0.01,0
2.75,0,0.02
1.09,0.01,0.01
-0.07,0.01,0
1.33,0,0
0.34,0,0
0.69,0,0
1.13,0,0
-0.59,0.01,0
0.36,0.01,0
1.98,0.02,0.05
1.92,0,0.01
-1.7,0.01,0.01
1.28,0.01,0.01
-1.16,0,0
0.95,0.01,0
1.36,0.01,0.01
0.3,0,0
2.03,0.01,0.02
-0.01,0.01,0
0.09,0,0
0.23,0.02,0
-0.59,0.01,0
1.4,0.02,0.02
-0.64,0,0
0.39,0.01,0
0.34,0,0
0.79,0.01,0
-0.02,0.01,0
0.13,0,0
1.07,0.01,0.01
0.81,0.01,0
-0.36,0.01,0
-0.04,0.01,0
0.73,0,0
0,0.01,0
0.43,0,0
0.48,0.01,0
0.16,0,0
1.68,0.01,0.01
2.08,0.01,0.02
0.63,0,0
1.11,0,0
0.17,0.01,0
-0.05,0,0
1.31,0,0
0.51,0,0
0.62,0,0
-0.06,0.01,0
-0.55,0.02,0
0.1,0.02,0
-0.84,0.01,0
0.66,0.01,0
-0.51,0,0
1.61,0.01,0.01
1.11,0,0
0.38,0.02,0
-1.39,0.01,0.01
1.4,0,0
-1.64,0.01,0.01
-0.31,0.01,0
0.28,0.01,0
0.43,0,0
1.57,0.01,0.01
-1,0.01,0
-0.75,0.01,0
-1.47,0.01,0.01
1.82,0,0.01
-0.27,0,0
-0.06,0,0
0.38,0,0
-0.71,0.01,0
0.56,0.01,0
1.1,0,0
0.06,0,0
1.92,0,0.01
0.74,0.01,0
0.51,0,0
-0.22,0.01,0
-1.49,0.01,0.01
-0.04,0.01,0
2.4,0,0.01
-1.09,0.01,0.01
0.55,0.01,0
-1.56,0.01,0.01
0.03,0.01,0
0.55,0,0
-0.19,0.01,0
0.79,0.01,0
0.58,0,0
-2.26,0.01,0.02
-0.06,0.01,0
-0.83,0,0
1.22,0.01,0.01
1.28,0,0
0.28,0.01,0
-1.3,0,0
-0.19,0.01,0
0.06,0,0
-0.81,0.01,0
-1.05,0.02,0.01
1.71,0,0.01
1.4,0,0
-0.84,0.01,0
0.99,0.01,0
-0.43,0,0
0.03,0,0
-1.06,0.02,0.01
0.18,0.01,0
-1.6,0.01,0.01
-1.18,0.01,0.01
0.31,0.01,0
1.49,0,0
-0.89,0,0
-0.13,0.01,0
-0.53,0,0
-0.38,0.01,0
-0.67,0,0
-0.54,0,0
-1.62,0,0.01
2.49,0.01,0.02
2.65,0,0.02
-0.05,0.01,0
-0.27,0.01,0
-1.15,0.01,0.01
-1.57,0.01,0.01
-0.52,0.01,0
-0.53,0,0
1.95,0,0.01
-0.4,0.01,0
0.31,0,0
1.71,0.01,0.01
-0.46,0,0
0.88,0.01,0
-0.33,0,0
0.84,0.01,0
0.06,0.02,0
-0.66,0.01,0
0.16,0,0
-1.43,0.02,0.02
0.31,0.02,0
1.61,0.02,0.03
0.83,0.01,0
-1.01,0.01,0
0.42,0.01,0
-1.16,0,0
-1.36,0.02,0.02
0.38,0,0
-0.66,0,0
0.29,0,0
-0.6,0.01,0
0.83,0.01,0
-2.02,0,0.01
0.1,0,0
-0.44,0,0
-0.51,0.01,0
-1.14,0,0
-1.64,0.01,0.01
1.19,0.01,0.01
0.39,0.01,0
-0.87,0.01,0
-0.15,0,0
0.29,0.01,0
-0.83,0.01,0
-0.66,0.01,0
-1.65,0.02,0.03
-0.44,0.01,0
0.24,0.01,0
-1.2,0,0
1.98,0,0.01
-1.2,0,0
-1.11,0,0
-2.12,0.01,0.02
0.29,0,0
0.73,0,0
1.44,0.01,0.01
-2.26,0.01,0.02
-1.05,0.02,0.01
-1.25,0.01,0.01
0.41,0.02,0
0.37,0,0
-0.06,0.01,0
0.04,0.01,0
0.88,0,0
-0.73,0.01,0
-1,0.01,0
0.99,0,0
-1.27,0,0
-0.69,0.01,0
-0.44,0,0
-0.46,0,0
0.53,0.01,0
1.01,0,0
-0.06,0,0
-0.05,0,0
0.07,0.01,0
0.1,0,0
-0.56,0,0
-0.25,0.01,0
0.71,0.02,0.01
-0.46,0.01,0
-1.11,0,0
-0.55,0.01,0
-0.79,0.01,0
-1.77,0.01,0.01
0.48,0,0
-0.23,0,0
-1.92,0.01,0.02
-0.01,0,0
-0.03,0.01,0
0.13,0.01,0
-0.19,0,0
-0.47,0.01,0
1.17,0,0
0.36,0.01,0
-0.3,0,0
-0.76,0.01,0
-1.46,0.01,0.01
-1.14,0.01,0.01
-0.07,0.01,0
-0.63,0.01,0
0.82,0.01,0
-0.4,0,0
-0.18,0,0
0.41,0,0
-1.3,0.01,0.01
1.05,0.01,0.01
-0.15,0.01,0
-0.9,0,0
1.07,0,0
0.5,0.01,0
-1.59,0.01,0.01
-1.4,0.02,0.02
-0.1,0.01,0
0.05,0.01,0
-1.11,0.01,0.01
0.16,0,0
-0.41,0.01,0
-1.72,0.01,0.01
0.67,0,0
-0.11,0.01,0
-1.04,0,0
